time,gold,gpr_total,gpr_threats,gpr_acts
1987-01-01,,76.85771942138672,91.94537353515625,51.12767791748047
1987-01-02,403.5,54.75318145751953,81.8769760131836,45.528987884521484
1987-01-05,398.95,56.41843032836914,96.41960144042969,13.403911590576172
1987-01-06,401.7,112.05303192138672,111.70811462402344,104.82255554199219
1987-01-07,400.4,71.3077163696289,77.55079650878906,53.90418243408203
1987-01-08,401.75,65.41875457763672,71.146240234375,49.452491760253906
1987-01-09,402.0,70.48016357421875,35.13160705566406,87.90969848632812
1987-01-12,411.1,90.54854583740234,105.31480407714844,87.84294891357422
1987-01-13,409.0,142.33689880371094,141.89877319335938,150.63693237304688
1987-01-14,415.1,120.5723876953125,113.87487030029297,116.09020233154297
1987-01-15,416.25,117.70545196533203,100.579833984375,130.5010223388672
1987-01-16,415.7,127.64022827148438,157.5443115234375,111.19098663330078
1987-01-19,422.25,82.25337219238281,89.45475769042969,74.61409759521484
1987-01-20,415.75,89.90267181396484,137.8860626220703,69.00635528564453
1987-01-21,407.2,82.81419372558594,141.5301971435547,29.512540817260742
1987-01-22,410.45,80.09663391113281,91.25724029541016,66.60285949707031
1987-01-23,400.0,90.67247772216797,96.41960144042969,100.52933502197266
1987-01-26,406.0,104.38764190673828,124.87959289550781,138.88255310058594
1987-01-27,411.5,134.03453063964844,190.8885040283203,95.53192138671875
1987-01-28,413.75,98.69847869873047,110.69401550292969,71.81201934814453
1987-01-29,409.7,115.90936279296875,109.47087097167969,121.74603271484375
1987-01-30,400.5,133.7183380126953,109.06914520263672,171.84060668945312
1987-02-02,406.75,128.50477600097656,56.937435150146484,201.83865356445312
1987-02-03,404.0,117.42311096191406,135.5450897216797,102.77999114990234
1987-02-04,402.2,141.67803955078125,134.51614379882812,134.6396942138672
1987-02-05,398.9,78.43966674804688,72.18297576904297,90.31159210205078
1987-02-06,402.6,135.8093719482422,94.18527221679688,186.57958984375
1987-02-09,405.9,125.14144897460938,117.41764831542969,171.391357421875
1987-02-10,402.85,148.42462158203125,147.96775817871094,134.6396942138672
1987-02-11,403.0,69.40618133544922,100.64369201660156,52.466739654541016
1987-02-12,402.3,98.39310455322266,130.7869873046875,90.90771484375
1987-02-13,397.35,96.92538452148438,90.94309997558594,104.30135345458984
1987-02-16,397.25,100.93696594238281,128.06979370117188,91.56245422363281
1987-02-17,397.25,78.0262222290039,56.57167053222656,94.37271881103516
1987-02-18,390.0,86.52229309082031,86.25596618652344,71.94599914550781
1987-02-19,393.35,82.67639923095703,87.91670227050781,73.33121490478516
1987-02-20,399.75,115.42047882080078,103.55868530273438,115.17089080810547
1987-02-23,403.2,117.00018310546875,72.90003204345703,133.77281188964844
1987-02-24,399.3,53.21393585205078,13.262535095214844,77.43585205078125
1987-02-25,405.8,116.12322235107422,85.30110168457031,132.13487243652344
1987-02-26,404.1,53.86288833618164,21.478837966918945,71.6618881225586
1987-02-27,405.85,63.39842224121094,52.669395446777344,61.50407028198242
1987-03-02,406.75,120.0717544555664,42.24781799316406,164.44798278808594
1987-03-03,407.8,146.7997283935547,63.62950897216797,201.6785125732422
1987-03-04,408.9,96.10931396484375,25.550262451171875,149.18008422851562
1987-03-05,412.3,94.49480438232422,62.80261993408203,104.76717376708984
1987-03-06,407.84,113.44409942626953,56.547454833984375,141.4984893798828
1987-03-09,406.54,115.21974182128906,86.14881896972656,143.71324157714844
1987-03-10,407.14,70.75387573242188,51.298973083496094,85.57682037353516
1987-03-11,408.75,41.931236267089844,35.83042907714844,39.8481559753418
1987-03-12,411.45,103.35624694824219,82.43048095703125,120.32154083251953
1987-03-13,410.05,62.824562072753906,11.387487411499023,94.9828872680664
1987-03-16,406.84,74.10665893554688,73.87855529785156,86.27080535888672
1987-03-17,407.89,26.29022216796875,0.0,43.722286224365234
1987-03-18,405.89,85.4432144165039,117.94183349609375,54.652854919433594
1987-03-19,405.99,86.86803436279297,80.8272705078125,77.04905700683594
1987-03-20,405.99,102.27481842041016,79.30223083496094,141.74119567871094
1987-03-23,409.85,142.07400512695312,164.00038146972656,124.35682678222656
1987-03-24,411.82,73.61261749267578,80.05747985839844,77.90515899658203
1987-03-25,415.26,74.30058288574219,61.7265625,82.377685546875
1987-03-26,412.55,64.37852478027344,81.68409729003906,38.93291473388672
1987-03-27,417.92,69.56926727294922,85.36016845703125,53.399105072021484
1987-03-30,425.58,110.1740951538086,102.51263427734375,134.36602783203125
1987-03-31,420.32,115.55469512939453,12.799888610839844,181.49832153320312
1987-04-01,418.5,162.50332641601562,199.38845825195312,124.73224639892578
1987-04-02,418.7,114.79195404052734,98.09024047851562,109.0892562866211
1987-04-03,418.7,117.8628921508789,74.2105941772461,144.430908203125
1987-04-06,421.45,112.2904281616211,83.95858764648438,151.73114013671875
1987-04-07,418.5,111.73343658447266,39.31394577026367,163.95855712890625
1987-04-08,420.5,110.011474609375,85.30110168457031,132.13487243652344
1987-04-09,421.0,65.48733520507812,32.642879486083984,81.6821517944336
1987-04-10,431.6,110.623779296875,122.5369644165039,91.98713684082031
